nome_join;Name_API;tags;Patch
reksai;Rek'Sai;Fighter;16.12.1
rell;Rell;Tank;16.12.1
renata;Renata Glasc;Support;16.12.1
renekton;Renekton;Fighter;16.12.1
rengar;Rengar;Assassin;16.12.1
riven;Riven;Fighter;16.12.1
rumble;Rumble;Fighter;16.12.1
ryze;Ryze;Mage;16.12.1
samira;Samira;Marksman;16.12.1
sejuani;Sejuani;Tank;16.12.1
senna;Senna;Support;16.12.1
seraphine;Seraphine;Support;16.12.1
sett;Sett;Fighter;16.12.1
shaco;Shaco;Assassin;16.12.1
shen;Shen;Tank;16.12.1
shyvana;Shyvana;Fighter;16.12.1
singed;Singed;Tank;16.12.1
sion;Sion;Tank;16.12.1
sivir;Sivir;Marksman;16.12.1
skarner;Skarner;Tank;16.12.1
smolder;Smolder;Marksman;16.12.1
sona;Sona;Support;16.12.1
soraka;Soraka;Support;16.12.1
swain;Swain;Mage;16.12.1
sylas;Sylas;Mage;16.12.1
syndra;Syndra;Mage;16.12.1
tahmkench;Tahm Kench;Tank;16.12.1
taliyah;Taliyah;Mage;16.12.1
talon;Talon;Assassin;16.12.1
taric;Taric;Support;16.12.1
teemo;Teemo;Marksman;16.12.1
thresh;Thresh;Support;16.12.1
tristana;Tristana;Marksman;16.12.1
trundle;Trundle;Fighter;16.12.1
tryndamere;Tryndamere;Fighter;16.12.1
twistedfate;Twisted Fate;Mage;16.12.1
twitch;Twitch;Marksman;16.12.1
udyr;Udyr;Fighter;16.12.1
urgot;Urgot;Fighter;16.12.1
varus;Varus;Marksman;16.12.1
vayne;Vayne;Marksman;16.12.1
veigar;Veigar;Mage;16.12.1
velkoz;Vel'Koz;Mage;16.12.1
vex;Vex;Mage;16.12.1
vi;Vi;Fighter;16.12.1
viego;Viego;Fighter;16.12.1
viktor;Viktor;Mage;16.12.1
vladimir;Vladimir;Mage;16.12.1
volibear;Volibear;Fighter;16.12.1
warwick;Warwick;Fighter;16.12.1
xayah;Xayah;Marksman;16.12.1
xerath;Xerath;Mage;16.12.1
xinzhao;Xin Zhao;Fighter;16.12.1
yasuo;Yasuo;Fighter;16.12.1
yone;Yone;Fighter;16.12.1
yorick;Yorick;Fighter;16.12.1
yunara;Yunara;Marksman;16.12.1
yuumi;Yuumi;Support;16.12.1
zaahen;Zaahen;Fighter;16.12.1
zac;Zac;Tank;16.12.1
zed;Zed;Assassin;16.12.1
zeri;Zeri;Marksman;16.12.1
ziggs;Ziggs;Mage;16.12.1
zilean;Zilean;Support;16.12.1
zoe;Zoe;Mage;16.12.1
zyra;Zyra;Mage;16.12.1
