patch;patch_features;nome_join;Name;Win %;Pick %;Ban %;Presenca_Global %;delta_wr_1p;tendencia_3p;pressao_acumulada;wr_vs_media;target;Prob_Nerf %;Prob_Buff %
2612;2611;mordekaiser;Mordekaiser;46.39;10.42;6.77;17.19;1.11;-0.21;0;-0.42;0;3.0;2.1
2612;2611;morgana;Morgana;49.6;9.74;14.85;24.59;0.53;-0.21;0;0.0;0;19.7;5.6
2612;2611;naafiri;Naafiri;48.96;17.92;32.38;50.3;0.01;0.15;0;0.09;0;40.8;1.5
2612;2611;nami;Nami;41.28;19.92;2.18;22.1;1.97;1.02;0;0.84;0;1.0;4.1
2612;2611;nasus;Nasus;46.79;8.48;3.4;11.88;-0.86;-0.32;0;-0.59;0;1.1;7.7
2612;2611;nautilus;Nautilus;48.32;21.93;14.33;36.26;1.01;0.44;0;0.98;0;37.0;3.9
2612;2611;neeko;Neeko;49.56;4.66;0.86;5.52;-0.73;0.2;0;-0.14;0;0.0;44.5
2612;2611;nidalee;Nidalee;46.77;6.6;1.38;7.98;0.34;-0.5;0;-0.15;0;1.5;36.7
2612;2611;nilah;Nilah;38.18;2.5;2.23;4.73;-5.59;-3.33;0;-3.43;0;0.0;12.5
2612;2611;nocturne;Nocturne;48.27;16.47;16.7;33.17;1.64;1.14;0;0.51;1;47.8;0.3
2612;2611;nunu;Nunu & Willump;45.27;5.42;0.62;6.04;0.71;0.12;0;0.45;0;0.0;53.5
2612;2611;olaf;Olaf;49.91;6.28;2.73;9.01;0.91;-0.07;0;0.73;0;0.5;14.6
2612;2611;orianna;Orianna;48.12;7.68;0.92;8.6;2.7;3.32;0;3.99;1;0.9;3.7
2612;2611;ornn;Ornn;49.42;9.22;0.72;9.94;-0.06;0.43;0;0.54;0;0.0;28.2
2612;2611;pantheon;Pantheon;49.04;15.51;1.91;17.42;-0.13;0.12;0;-0.06;0;2.6;12.6
2612;2611;poppy;Poppy;49.19;6.88;2.75;9.63;-0.66;-0.41;0;-0.07;0;0.0;13.7
2612;2611;pyke;Pyke;44.35;13.41;26.73;40.14;-2.65;-0.31;0;-2.15;0;2.6;4.5
2612;2611;qiyana;Qiyana;49.92;7.85;2.04;9.89;0.12;-0.12;0;-0.2;0;0.1;12.1
2612;2611;quinn;Quinn;49.93;7.87;1.96;9.83;1.73;0.71;0;1.77;0;0.0;7.2
2612;2611;rakan;Rakan;46.07;7.69;0.31;8.0;0.87;-1.98;0;-0.83;0;0.0;9.6
2612;2611;rammus;Rammus;49.41;4.02;3.67;7.69;2.81;0.37;0;1.35;0;0.0;11.8
2612;2611;reksai;Rek'Sai;51.47;5.62;1.92;7.54;1.54;1.2;1;1.66;0;0.0;3.8
2612;2611;rell;Rell;45.45;8.05;1.22;9.27;-0.17;-0.77;0;-2.0;0;0.0;15.2
2612;2611;renata;Renata Glasc;42.25;2.27;0.14;2.41;5.82;-1.3;0;2.97;0;0.0;3.7
2612;2611;renekton;Renekton;43.13;10.59;3.94;14.53;-0.41;2.1;0;2.05;0;0.0;3.0
2612;2611;rengar;Rengar;44.18;9.78;9.76;19.54;-4.63;-1.84;0;-3.36;0;4.7;3.6
2612;2611;riven;Riven;48.95;9.91;3.0;12.91;1.19;-0.2;0;0.01;0;0.1;13.0
2612;2611;rumble;Rumble;48.48;5.17;1.27;6.44;0.58;0.33;0;0.45;0;0.0;56.9
2612;2611;ryze;Ryze;44.83;9.25;0.86;10.11;-1.5;0.41;0;0.08;1;0.0;7.6
2612;2611;samira;Samira;42.89;9.79;5.94;15.73;2.2;-0.4;0;0.03;0;0.1;0.7
2612;2611;sejuani;Sejuani;50.79;4.28;0.15;4.43;3.1;0.86;0;2.59;0;0.0;5.4
2612;2611;senna;Senna;51.32;32.22;6.35;38.57;5.91;1.14;0;4.44;0;14.1;1.0
2612;2611;seraphine;Seraphine;47.58;25.77;7.68;33.45;-2.82;0.57;0;0.24;0;13.3;4.7
2612;2611;sett;Sett;47.77;10.25;2.26;12.51;-0.84;0.2;0;-0.25;0;0.0;8.2
2612;2611;shaco;Shaco;44.27;12.07;16.37;28.44;-1.23;-0.32;0;-0.09;0;4.2;7.5
2612;2611;shen;Shen;50.28;10.03;1.03;11.06;0.37;-0.45;0;-0.61;0;0.1;12.3
2612;2611;shyvana;Shyvana;39.87;8.88;6.22;15.1;-5.19;-1.44;0;-4.35;0;0.0;2.3
2612;2611;singed;Singed;50.47;6.49;1.08;7.57;0.77;0.96;0;0.74;0;0.0;19.0
2612;2611;sion;Sion;50.5;14.37;1.35;15.72;1.26;0.3;0;0.82;0;1.0;24.6
2612;2611;sivir;Sivir;42.48;8.38;1.86;10.24;2.99;1.62;0;0.78;0;0.0;2.2
2612;2611;skarner;Skarner;48.56;3.53;0.28;3.81;1.5;1.22;0;1.2;0;0.0;9.0
2612;2611;smolder;Smolder;39.18;20.51;24.26;44.77;-3.22;-0.7;0;-2.96;0;8.4;2.2
2612;2611;sona;Sona;38.37;5.85;0.28;6.13;-3.39;-2.47;0;-3.65;0;0.0;6.0
2612;2611;soraka;Soraka;48.76;10.89;2.4;13.29;4.6;1.15;0;3.52;0;0.0;5.3
2612;2611;swain;Swain;48.54;10.19;1.88;12.07;0.13;0.3;0;1.06;0;0.0;19.6
2612;2611;sylas;Sylas;48.41;26.8;11.46;38.26;-0.05;0.03;0;0.14;2;39.6;0.5
2612;2611;syndra;Syndra;45.62;9.29;2.47;11.76;4.45;0.59;0;1.91;2;0.0;7.3
2612;2611;tahmkench;Tahm Kench;50.48;9.72;1.96;11.68;1.91;0.24;0;1.38;0;0.5;11.9
2612;2611;taliyah;Taliyah;49.51;5.02;0.38;5.4;-1.28;0.4;0;0.18;0;0.0;36.1
2612;2611;talon;Talon;46.6;15.88;10.72;26.6;-0.92;0.71;0;0.48;0;13.6;2.2
2612;2611;taric;Taric;49.25;2.67;0.23;2.9;0.98;0.79;0;1.76;0;0.0;15.3
2612;2611;teemo;Teemo;49.24;12.62;8.97;21.59;-0.15;0.43;0;0.47;0;36.0;10.7
2612;2611;thresh;Thresh;44.63;27.19;7.89;35.08;4.68;0.97;0;2.55;0;5.3;0.0
2612;2611;tristana;Tristana;44.76;9.06;0.97;10.03;2.84;-0.1;0;0.7;2;0.1;6.4
2612;2611;trundle;Trundle;46.2;4.34;0.32;4.66;-1.04;-0.3;0;-1.12;0;0.0;31.9
2612;2611;tryndamere;Tryndamere;47.04;7.25;2.15;9.4;0.86;-0.58;0;-0.47;0;0.1;11.0
2612;2611;twistedfate;Twisted Fate;45.96;12.45;1.1;13.55;0.08;-0.53;0;-0.45;0;0.1;7.9
2612;2611;twitch;Twitch;45.38;11.6;5.96;17.56;-0.92;0.02;0;-0.27;0;4.8;3.6
2612;2611;udyr;Udyr;47.2;5.71;1.02;6.73;-0.33;0.2;0;0.16;0;0.0;58.9
2612;2611;urgot;Urgot;45.5;5.28;0.74;6.02;-0.24;-0.15;0;-0.45;0;0.0;59.2
2612;2611;varus;Varus;46.35;16.16;5.64;21.8;-0.97;0.57;0;0.6;1;7.9;2.8
2612;2611;vayne;Vayne;48.41;17.64;12.66;30.3;0.02;-0.21;0;-0.03;0;33.2;2.1
2612;2611;veigar;Veigar;50.07;9.86;0.91;10.77;2.6;1.19;0;1.92;0;0.0;2.8
2612;2611;velkoz;Vel'Koz;43.82;12.24;1.51;13.75;0.21;-1.56;0;-1.73;0;0.0;1.0
2612;2611;vex;Vex;44.87;5.19;2.96;8.15;0.3;-0.11;0;-0.5;0;0.0;11.3
2612;2611;vi;Vi;47.83;11.23;1.4;12.63;1.55;-0.27;0;0.39;0;1.1;24.8
2612;2611;viego;Viego;48.46;19.21;7.49;26.7;-0.11;0.45;0;0.57;0;21.6;3.4
2612;2611;viktor;Viktor;47.64;21.51;9.74;31.25;-0.56;-1.32;0;0.1;0;21.4;8.9
2612;2611;vladimir;Vladimir;43.17;15.58;7.66;23.24;-0.23;-0.94;0;-1.49;0;3.3;1.0
2612;2611;volibear;Volibear;46.91;7.62;1.55;9.17;1.88;-0.34;0;0.31;0;0.1;19.1
2612;2611;warwick;Warwick;46.21;9.18;1.69;10.87;-0.75;0.3;0;-0.92;0;0.0;8.8
2612;2611;wukong;Wukong;49.35;11.58;1.36;12.94;-1.92;0.09;0;-0.29;0;0.9;18.8
2612;2611;xayah;Xayah;47.6;7.49;0.48;7.97;1.56;2.3;0;2.86;0;0.5;10.1
2612;2611;xerath;Xerath;45.02;19.04;8.33;27.37;-6.06;0.26;0;-1.64;0;11.0;1.9
2612;2611;xinzhao;Xin Zhao;48.89;20.73;7.93;28.66;0.62;0.51;0;0.78;1;41.8;3.7
2612;2611;yasuo;Yasuo;46.1;22.57;16.97;39.54;1.05;0.5;0;0.62;0;13.6;1.6
2612;2611;yone;Yone;44.99;23.78;5.51;29.29;-1.15;0.24;0;-0.35;0;6.1;0.7
2612;2611;yorick;Yorick;47.1;7.86;6.93;14.79;2.15;0.59;0;1.42;0;2.2;5.6
2612;2611;yunara;Yunara;41.96;9.74;1.29;11.03;1.53;-1.42;0;-1.5;0;0.0;3.1
2612;2611;yuumi;Yuumi;29.61;10.07;6.97;17.04;-1.48;-4.22;0;-4.37;2;1.1;1.7
2612;2611;zaahen;Zaahen;50.45;6.27;1.94;8.21;2.63;1.67;0;2.97;0;0.0;1.9
2612;2611;zac;Zac;51.47;6.1;0.95;7.05;2.33;0.28;1;1.55;0;0.0;15.5
2612;2611;zed;Zed;47.19;21.43;27.98;49.41;-0.7;-0.3;0;-1.01;0;20.7;6.5
2612;2611;zeri;Zeri;47.3;9.06;0.55;9.61;2.09;0.45;0;1.39;0;0.5;11.6
2612;2611;ziggs;Ziggs;45.28;5.51;0.52;6.03;3.83;0.66;0;2.34;0;0.0;21.8
2612;2611;zilean;Zilean;48.13;6.5;1.34;7.84;-3.0;-0.9;0;-1.05;0;0.0;33.2
2612;2611;zoe;Zoe;47.21;8.5;5.33;13.83;0.55;0.68;0;1.61;0;3.2;5.8
2612;2611;zyra;Zyra;49.13;7.33;2.22;9.55;-0.6;-0.41;0;-0.44;0;0.6;13.7
